No,Review
982,"Voucher gratis ongkir gak bisa digunakan harus update dlu,udh d update masih gaada dan gabisa. Boro2 mau klaim, voucher nya aja gak ada. Iklan nya selalu gratis ongkir nyatanya harus beli dulu voucher nya dan cuma pakai Shopee pay yang bisa. Mana memory gede banget sedih akutu"
983,"Bagus banget aplikasi Shopee ini, bisa belanja berbagai macam barang, dan banyak vouchernya, ada permainannya lagi, pokoknya seru deh"
984,"Suka pakai shoppepay tapi akun kok sekarang gak bisa dipakai punyaku ya,ada masalah apa ya..tolong jelaskan"
985,Jangan top up ff di sopee saya pernah ketipuu
986,Assalamu'alaikum warahmatullahi wa barokatuh saya Nayla?? kenapa saya kasih bintang 4 karena harusnya shopee ini ada foto dari pembelinya agar lebih de l dan lengkap ??????????
987,"Akhir"" ini shopee menyebalkan padahal sudah di update ke versi terbaru ttep ajah lola banget gk muncul gambarnya. Kan jadi kesel ka. Padahal pengen order. Tolong dipebaiki lagi kak. Nnti aku kasih bintang 5."
988,"Aplikasi banyak hack... Shopee pay saya di retas,terus di nonaktifkan.. 3 akun shope saya tidak bisa digunakan.lapor ke pihak shopee tidak ada tanggapan"
989,"Belanja Puas Dengan Shopee,Barang Cepat Datang... Kualitas Barang, MANTAP"
990,Akun saya tiba tiba di bekukan . Padahal saya ga melanggar . Tadi aja ada yang telpon mengatas namakan shoppe dan saya dapat hadiah . Dan dia juga tau nama saya sama alamat lengkap sama nomor saya . karena saya tidak percaya tiba tiba akun saya di bekukan . Apa akun saya ada yang nge hack
991,"Jujur aplikasi shopee sekarang itu jelek banget dan untuk memberikan voucher gratis ongkir pun harus rebutan dulu sama yang lainnya beda sama tahun-tahun sebelumnya yang memberikan voucher gratis ongkir secara cuma-cuma, Kitakan yang sering belanja di shopee butuh voucher itu buat potong ongkir nya apa lagi buat yang pembayaran cod. Kalo kaya gitu mah mending pindah ke LAZADA yang memberi voucher gratis ongkir terus dan tentunya Banyak diskon."
992,"Ini kok shoppee paylaterku ga bisa, aplikasi ga jelas"
993,Bagus barang nya cepet datang nya tidak mengecewakan belanja di shopee
994,Suka belanja dsni tapi lemot banget lama2. Belanja di merchant shopee mart (mall) sudah 2x dibatalkan sepihak dg alasan tidak jelas
995,Shopee super mantap
996,"Terimakasih atas adanya shopee mau belanja apa aja bisa semuanya ada dishopee. tapi kenapa ya voucher cod nya gak bisa di gunakan. Harus menggunakan shopeepay dulu voucher nya baru bisa digunakan, agak bete dehh.. tolong ditingkatkan lagi ya shopee. Terimakasih ????"
997,Bagaimana download shopee terbaru yang bisa upload video buat retur barang
998,"Belanja lebih mudah dtn shopee banyak kupon gratisannya lagi,,mantaplah"
999,Saya sangat puas belanja di shopee.. Alhamdulillah sejauh ini saya selalu mendapatkan yang terbaik
1000,"Awalnya ku pikir bagus tapi buat registrasi rekening aja di puter"". Sampe saya kontak bank nya sudah beres, tapi di shopee lama pelayanan sama pelaporannya."
1001,"Awalnya suka bngt aku belanja disini...tapi lama2 menurun ...dari reward2nya, masa belanja plus koin harusnya ckup buat pembayaran shopeepay dlu bisa sekarang enggak...intinya aplikasinya jadi super pelit..."
1002,masa gratis ongkirnya di banyakin yang SHOPE PAY nggak jelas ni.bilangnya gratis ongkir mana kami bukan pengguna shope pay hanya melongo
1003,Pelit koin dan udh gak dpet gratis ongkir lagii.. gratis ongkir cuma untuk shopee pay doank. Huft! Makin lama makin males belanja dshopee mnding di aplikasi blnja lain aja ada gratis ongkirnya.??
1004,SHOPEE menurut ak dh bagus tapi masih ad yang karena gtu masalah koneksi nya jadi untk skarang bntng 4 dlu yh min
1005,tidak puas akun saya dibatasi .. ketika mengajukan banding malah ditolak kecewa sekali padahal saya ini sebagai customer selalu percaya kpd pihak shopee tetapi setelah kejadian ini saya kecewa
1006,Dimohon untuk pihak shopee saya ingin mengajukan permohonan kalo hasil dari tanam beras Terus jus jambu itu pas dikirimnya di kasih gratis ongkir jangan hrus bayar ongkir juga karena kan tujuan dari nanam beras sama jus jambu itu agar mendatkannya secara gratis tapi ini malah hrus bayar ongkir ya sama aja beli sendiri bukan gratis apalagi ongkirnya yang diatas 15.000 kan rugi sudah nyiram lama lama harus bayar juga mohon dikabulkan permintaan saya ini untuk menggratis ongkir kan hasil dari nanam
1007,Ah aplikasi jelek lemot banget
1008,"Pengalaman belanja di shopee sangat memuaskan.barang yang dijual banyak diskon dan promo,produk pasti sesuai dengan pesanan,pengiriman cepat dan tidak pernah mengecewakan. TERIMA KASIH.."
1009,Shopee keren membantu saya dalam membeli kebutuhan secara cepat
1010,"Selalu berinovasi dan berkembang lebih baik lagi selalu shopee , buka aplikasi mudah mau cari apa mudah , pergunakan voucher juga mudah ,lebih banyak kategori VCR gratis ongkir dan pot harganya ya hihihih seperti dulu.sukses selalu shopee"
1011,Saya suka banget belanja di shopee
1012,Bagus banget aplikasi shopee bikin kepala saya pusing terima kasih ya
1013,"Payah.. Tiap ada event server nya nambah buruk. Boro2 mau beli, buka aplikasi nya aja susah. Bangke shopee skr. Mening lapak ijo"
1014,"Puas banget belanja disini,saran aku kalau mau belanja pinter² nyari voucher yah,biar ongkirnya murah,Terus Jan lupa cari discount yang gede²,aku kemaren beli sneakers harga normal 300k,eh ada flashsale jadi 35k doang!kece abos dah!,buruan download shopee Terus beli barang sebanyak²nya biar cepet naek level,buat apa?biar dapat voucher sebanyak²nya!!"
1015,Gk bisa beli diamond lagi huu aplikasi shopee pay gw 500K mao gw tarik gk bisa
1016,Makin lama kelamaan shopee makin pelit aja nih gratis ongkirnya Dan skarenag shopee itu harus minimal belanja 50rb lagi dari 30rb.. Kalau kek gini jadi agak males
1017,"Kekurangan shopee, shopee harus di update terus"
1018,Sekarang shopee ku lancar
1019,Saya udh ga suka aplikasi shopee karena shopee tanam kilat menitnya yang awalnya 10 menit jadi 4 menit mau logout juga gak keburu sebelin ah
1020,"Aplikasi kopet... Masak dipakai beli pulsa g bisa, muncul tulisan anda telah memenuhi kuota pembelian har ini...?????????????????????????????????????????????????????????????????????? Mau ditransfer ke Bank ribet ny... proses verifikasi lelet... Ribet dah pakai shopee ...????????????"
1021,"TOLONG VOUCHER GRATIS ONGKIRNYA JANGAN CUMA UNTUK SHOPEE PAY AJA, AKU PENGGUNA SETIA SHOPEE :'("
1022,"Selamat sore shopee . Saya perhatikan aplikasi ini setelah update makin berat untuk di gunakan, harusnya makin gampang dan praktis, untuk membuka 1 produk saja lambat sekali. Mohon setiap melakukan pembaruan di permudah penggunaanya.. dan fitur"" yang sekirany tidak berguna di hilangkn saja"
1023,Hih komunitas shopee nya gak sabaraan
1024,"Balikin saldo shopee pay w,,ngisi shopepay kok ndak bisa login..ket f02"
1025,saya sk blnja di shopee ga perlu keluar rmh ttinggal pesen barang dateng??????????
1026,"Berbelanja di shopee sangat menguntungkan dari segi harga dan gratis ongkir setiap harinya, dan untuk pencarian barang yang tidak ada di daerah saya dapat di cari di shopee dan banyak lagi barang yang ditawarkan. Trims shopee."
1027,enak belanja pakai shopee
1028,Saya kasih bintang lima (5) buat aplikasi shopee nya . Sangat rekomendasi banget deh tidak mengecewakan pelanggannya.???? Terimakasih Shopee.???? Tambahin lagi bonus nya buat saya ya kak.???? Tapi saya belanja di Shopee belum pernah dapat hadiah HP Canggih sih kak.
1029,Tidak suka sama pengiriman Shopee experss suka nanya alamat tapi marah2 di kasih tau ngeyel.. Masih mending j&t baik ramah
1030,Lumayan deh shopee sekarang sering2 bikin event ya
1031,Aplikasi bodoh....gw waktu 12.12 begadang buat dapatin diskon tapi alamat gk tertera di shopee udh seneng diskon tapi bege banget
1032,"gila jadi deg2an gak sih? tp ini kaya gimana ya, untung ane ga pernah pake tokped sih gan"
1033,Pemesanan dan program pemerintah di rumah aja tambah makin enak
1034,astagfirullah
1035,Saya udh kecewa banget... Uang saya belum kembali soal pesanan
1036,"KECEWA DENGAN PERUBAHAN EKSPEDISI PENGIRIMANNYA!!!!!!!! BUKANNYA CEPET MALAH TAMBAH LAMA, BUKANNYA ONGKIRNYA MURAH MALAH MAHAL!!!!!!!!"
1037,"No system is safe
 
 Quote film ""who am I""
 
 Rutin mengganti password aja cuma memperkecil resiko walaupun resiko tetap ada. Dulu ane kerja di Bank ada peraturan seminggu sekali ganti password. Karena akun ane bisa akses semua data nasabah."
1038,Tambahin promo min
1039,Aplikasinya sering eror bikin pusing susah bayar susah pencarian juga
1040,nah loe toped napa kecolongan bgini
1041,Asli ini ngeri gan
1042,"haaah bisa kecolongan, banyak yg panik termsuk ane wakakka"
1043,"Mampuus lu.. tdk bertanggung jawab dana Triliyunan, tpi tdk bisa menjaga Data"" penting pelanggannya.. itu semberono namanya yg ad mlh merugikan pra pelanggan.."
1044,Terima kasih sudah membantu saya
1045,Harus ini bajingan orang yang bocorkan data di tokopedia
1046,Bagus untuk semua orang ya...
1047,wah repot ini apa jangan2 punyaku juga kena ya...soalnya ane mau chat penguna selalu eror trs dan barang di keranjang g bisa dibuka trs di list juga g bisa dibuka..wah repot lagi ini..
1048,Aku sukanya kalau ada cod...dan barangnya sesuai gambar setiap aku pesan...no tipu2.????????????????????????
1049,bahaya kalau bisa merembet kemana mana gan. sudahlah para hacker.. pensiunlah kalian
1050,nanti kalo amit2 sdh hilang di telan corona.
1051,jadi takut anjir gw jg pengguna
1052,Kadang lemot banget.. tapi overall sudah baik..
1053,sangat membantu buat kaum mager keluar wkwk
1054,"Sejauh ini semua pesanan bagus, mudah2n kedepan pelayanan lebih matang lagi, lebih mantap lagi, lebih melindungi konsumen"
1055,sudah langganan belanja disini
1056,Aku suka sekali
1057,kita bisa tuntut tokped harusnya ya klo data ampe bocor gitu..
1058,"Loadingnya biasa agak lama, meski pakai wifi ataupun pakait data"
1059,gak usah ngurusin perusahaan lain. urusin noh kartumu banyak yg komplain.
1060,Pengalaman baru di era new normal.. Seru juga belanja di aplikasi ini
1061,bagus dan mantap
1062,waduh ane pengguna tokoijo
1063,"Kelebihan: Barang yang dijual lengkap dari dalam sampai luat negeri ada. Proses pembayarannya mudah dan aman. Kekurangan: Sering loading lama banget cuman mau masukin barang ke keranjang.. padahal sudah di bersihkan chace nya :( **Tambahan: sudah versi terbaru plus clear chace admin, tapi masih aja lo...Ulasan Lengkap"
1064,Penjilat es krim
1065,sampai saat ini cukup bagus
1066,"kasihan yang seller, hasil jualan mereka kan gak langsung cair"
1067,jangan cuma garang nangkepin penulis baliho puan doang dong
1068,Oke punya deh top
1069,"Masih jadi yang terbaik, dengan keamanan dan kenyamanan yang luar biasa"
1070,"Lebih mudah memilih smw kebutuhan, banyak gratis ongkirY..."
1071,Mantap..banyakin gratis ongkir
1072,Aplikasi belanja yang sangat efektif dan bermanfaat.
1073,"Belanja mudah, harga bersaing, bnyak voucher terutama free ongkir. tapi hrus teliti beli barang murah, heheh, kualitas sesuai harga"
1074,Keren abis nih
1075,Respon cepat...ongkir harus lebih murah lagi
1076,"waduh bahaya
 ane ganti dlu dah pass punya ane"
1077,Waduh bahaya
1078,"Kasi bintang 4 aja,soalnya saat masuk cari produk gd mau muncul.tolong diperbaiki donk."
1079,"Saldo sih gaada
 Tapi serem klo data pribadi dibuat yg engga²"
1080,"Hayoloh gimana dong ini, pindah toko sebelah dah"
1081,Iya dapet notif fb sama ig nih parah
1082,"duh padahal marketplace kesayangann, beli apa2 disitu smua"
1083,Barang nya baguss
1084,Untung Ane ndak pakek aplikasi enih lagi...
1085,Apakah kalau beli barang di sini harus share lokasi??? Soal nya gak pernah beli online
1086,Aplikasi bagus.. Sangat membantu..
1087,haduh serem....jadi gimana biar data kita aman ?
1088,Belanja online lebih mudah
1089,Waduh cilaka neh
1090,Lumayan okelaa
1091,kok ga ada kode pos kota/kelurahan tertentu ya?
1092,ah goblok gimana sih masa bocor!!!
1093,Manajemen negara amburadul. Sementara konflik militer indocina vs indopasifik makin mendekati masa genting. Mungkin memang niatnya penguasa negara mengorbankan rakyat demi nyawa keluarga 'tukang' yang cuma segelintir
1094,"Mempermudah belanja,,,,sayakn orangnya jarang kemana"""
1095,Bagus banget aplikasinya
1096,Blokir/Uninstall tokopedia.
1097,Bagus hanya saja kadang suka loading lama
1098,"njirrr,data gw,no kartu,email,saldo gw d toped gmn nh,ikut kabur gak ????????"
1099,Biarkan evolution by natural selection berjalan & mengambil korbannya.
1100,lumamayan membantu untuk beli barang gak usah pergi2 tingal pesan sajah pengiriman jga cepAtt...
1101,mampus lu
1102,"Sebenarnya lumayan bagus, cuma semakin lama dibuka semakin lambat"
1103,alhamdulillah aplikasi yang amanah
1104,"Bagus banget,tapi kadang kadang loading terus"
1105,"sampah sampah cyber itu memang berkelompok... harus di tangkap kelompoknya, bukan individu, atau malah blokir website wkwkwkw"
1106,Untung gak pernah belanja di tokopedia.
1107,Harga produk bagus Produk original
1108,Selama ini barang yang dicari selalu ada
1109,waww mengerikan
1110,Waduhhh.. bocorrrr.. hmmmmm parah jugaaa
1111,Senang sekali
1112,Wah.. saya bocor di 3 platform.. pakein No Drop aja kak?
1113,Bajigur emang. Paling males tuh data kita yang diperjualbelikan seharga $5000. Password masih bisa diganti2 tapi data diri itu lho takutnya salah digunakan.
1114,Waduhh....
1115,Memuaskan selama ini
1116,bagus..... banget nget nget tapi ongkir ny suka ada yang mahal²
1117,"Bahaya nih.
 
 Tapi ntar dulu ganti password."
1118,"Dan aku salah satu pengguna.
 
 Kampret"
1119,Harga murah . cepat sampai.banyakin gratis ongkir jangan mahal2 ongkirnya biar yang belanja lebih bnyak
1120,Udah seminggu baru 6 pesan spam
1121,"Gw pngguna tokoped sbgai konsumen.. Jadi khawatir juga, email dan hp pribadi di gunakan di stu ."
1122,anjir. kok toped kena
1123,Aplikasi sangat bagus dan banyak bonus??
1124,"Say termasuk pengguna Tokopedia&say salh satu korban hacker jg.. HACKER=>COVID19 (sama2 bahayanya) 
 orang sehat bisa tertular &bisa menularkan dikarnkn hasut di hasutkan..."
1125,"Wah, jgn2 punya ane juga nih"
1126,yg bikin ngeri kan klo pernah transaksi pake kartu kredit
1127,otw unistal tokepedia
1128,Sangat memuaskan
1129,"apa lagi diriku,
 mau download apl nya aja males"
1130,"dulu juga pernah toped kena hack, dah lama juga..ini muncul lagi,"
1131,Gratis ongkirnya suka hilang hilang cuma itu yang kurang aku suka jadi kasih bintang 4 saja dulu
1132,Kecewa Katanya gratis ongkir . Ternyata mahalnya. Gak bisa bayar di tempat pula
1133,Aplikasi terbaik tapi coba deh buat flash salenya dibanyakin stoknya suka ga dapat
1134,"wah kacau gan, emang bahaya sih nyimpan hal-hal pribadi apalagi privasi,
 
 semoga cepet membaik dah ya gan,"
1135,"Faakk, semuanya diroasting bangkee"
1136,"pengiriman ok ,kurirnya ok ok ."
1137,Asalamualaikum Ini aplikasi bagus banget tapi saya blom tau soalnya HP saya Kentang jadi kalo Login nya lama banget tapi aplikasi nya kaga salah kok yang salah cuma HP Gw doank Thank's you
1138,Si Piring ini dari dulu ga bisa kerja apa ya?
1139,"Bagus,untuk saat ini pelayanannya cukup puas,barang yang di pesan sesuai,cuma sampainya estimasi pengiriman agak lama,1 minggu??"
1140,"waduh,,,"
1141,Bagus banget aplikasinya....tapi agak sedikit bermasalah saat memesan barang
1142,"waduh, mana ane sering transaksi di tokped lg"
1143,ngeri bgt ni kudu diusut. smg platform lain aman
1144,Saham turun juga nih pastinya
1145,untuk sekarang puas banget..
1146,Makanya aku males up KTP dll.. pernah punya tokped tp udah gak jualan lagi aku un-install
1147,Barang sesuai gambar...
1148,"Ojo kagetan, ojo gumunan... semua bisa terjadi di era rezim kardus ini"
1149,"lumayan membantu, cuma sayang, produk &gambar nya terkadang berbeda jauh,,,, ekspektasi nya tidak seindah kenyataan...."
1150,Wihhhh.. serem jugaaa hmmmmm..
1151,"Aplikasinya si oke yah, pesenan juga lancar aja. Cuma sekarang ko koin hasil belanjanya malah ditarik karena spam. Padahal saya selalu kasih bintang 5 dan review jujur bagus bagus:)) ini kenapa ko bisa gini"
1152,"waduh bahaya ini apalagi kalau ada investasi di sono
 
 
 
 
 kacau, semoga ada kompensasi lah"
1153,"klo ane males pake tokped...ribet n ga nyaman transaksinya, mending juga shopee"
1154,waduh mesti ganti password nih
1155,Aplikasi sangat bagus dan banyak bonus??
1156,"toped banyak pedagang boongan.
 
 ga pernah disweeping sama topednya sendiri."
1157,Semoga kedepanya semakin ok.
1158,"Mantap, banyak discount & free ongkir"
1159,ane langsung tarik saldo tokped baca trit ini ??
1160,"Hajar aja, masa gk bisa bikin aman pelanggannya.. Nih >"
1161,Untuk sampai saat ini masih bagus .. Pertahankan yah.
1162,"Wadduh,,cek email kena juga,.gk aman,,trus gmn gan? Ganti pasword email??"
1163,"wah bahaya jualan database,orang dalem neh"
1164,Saya saranin bisa bayar di tempat :)
1165,mampussss sok sokan pake ovo segala siii...
1166,Lebih banyak gratis ongkir nya..
1167,"dahlah ya, entah data ane udah kesebar kemana mana.
 
 huft, yg bikin panik itu PINJAMAN ONLINE, tau2 ada notif minjem duit. Fuxek"
1168,warning buat penyedia layanan dan pengguna biar lebih di tingkatkan keamanan data penggunanya.
1169,untung sdh pindah ke si oren
1170,"Sudah kuduga, akhirnyaaaaa startup asli indonesiaaaa gulung tikar semua. Bukannya malah melindungi dan mendukung untuk bisa expand ke luar negeri"
1171,Suka banget deh
1172,Ngeri ini
1173,Pelayanannya sangat memuaskan
1174,Di roasting semua njir
1175,"Pokonya suka banget ,bikin mudah ,dan kalo masalah barang bagus atau zonk ya tergantung kita nya aja yang nentuin dan dari pihak tokonya juga yang ngirim ,ada harga ada kualitas sih intinya mah yaa??"
1176,bocor lg bocor lg
1177,Wah kacau...cek akun ane dulu dah
1178,haduhh.pusing.aplikasi andalan ane nich.kudu ganti password ni
1179,"Yaaah Kominfo otaknya flaaat, bikin aturan yg penting untung, giliran proteksi gak mampu...
 Apa gajinya murah yah..."
1180,"Sudah baik, semoga lebih baik lagi.."
1181,Fakkk
1182,Kenapa di aplikasi saya tidak ada spay later?
1183,"Masih ada yang perlu dipantau kualitas dr produsen,terutama barang elektronik."
1184,Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller
1185,Bagus aplikasi nya tapi kadang agak lelet aja
1186,"Dampak dari kebocoran data tersebut udah bisa kita rasakan hari ini. Banyak orang yg menjadi korban doxing, penyalahgunaan identitas, penipuan, pembajakan dll."
1187,Kualitas barang sangat baik
1188,"Dammm.... Gw beli dildo , borgol , sex toy , dan underaged slave kid. toy ketahuan donk"
1189,"Belanja nyaman, belanja aman"
1190,musti ganti pw nih cepet2
1191,pelayanan bagus
1192,Simple dan kompetitif
1193,Aduh parah
1194,Aplikasi yang bagus dan sangat membantu
1195,Emang mereka punya mata? Mata duitan semua
1196,"Ya ga bakalan di kasih tau lah...Bisa-bisa di boikot pengguna.
 Disisi lain, tokopedia ternyata masih low-end techno tentang cyber security"
1197,Tetap jaga kepercayaan pelanggan
1198,"Sangat disayangkan, data-data penting yang seharusnya aman tapi sekarang ada yang sudah dikuasai oleh orang yang tidak bertanggungjawab. Tapi mau bagaimana lagi, cara untuk mencegah hanyalah segera melakukan penggantian password agar lebih aman."
1199,"Suka barang"" nya cuma pengiriman nya yang kadang terlalu lama"
1200,"Tolong perbaiki lagi performa aplikasi y , masak aku beli alat elektronik total belanja ya sering lebih 5 ribu bahkan lebih dari hitungan manual, ya terpaksa aku kurangi lagi bintang y"
1201,"Barang selalu sesuai...tapi masalah ongkir masih terlalu mahal (kdangan sih)tapi aku puas.pengiriman jg cepat,,,????????"
1202,"Bagus, cuma ada beberapa yang perlu ditambah :)"
1203,Wadoh data diri ane bijimane nih
1204,gilak sih ini ampe nomor hape dan tanggal lahir ketahuan. parah
1205,Semua orang sudah tau lah sophie mempermudah belanja dan aman...
1206,Astaga...
1207,"Waduh paling sering belanja lewat tokped, cari alternatif laen mau gak mau."
1208,Iklan bagus barang nya sesuai pesanan
1209,Unistall Tokopedia
1210,shit......saatnya ganti pass
1211,"ini seperti yang terjadi sebelumnya ""BL"" pernah mengalami data bocor dan sekarang terjadi lagi di ""Tokped"" rentan banget platform market place seperti BL dan Tokped kebocoran data. Semoga kedepannya bisa lebih baik lagi"
1212,"Bocor apa di jual ,"
1213,ngeri bree takutnya nomer hp kita diapa2in
1214,Pindah ke oren wkwk
1215,anjerrr. akun ane ilang
1216,"hadoh ga si biru, si merah, si oren skg si ijo perlindungan data gada yg bener"
1217,Banyak gratis ongkirnya
1218,"waduh parah nih, harus segera diusut, kalau datanya digunakan untuk tindak kriminal bijimane ni nasibnya bener nih harusnya UU semacam perlindungan data gitu yang harusnya segera diselesaikan bukan semcam RUU KUHP atau pun RUU Cilaka dah"
1219,Kadang suka ngelag. Tapi rata-rata oke. Sayang voucher gratis ongkir tidak sebanyak dulu
1220,"harusnya sekelas tokopedia udah lbh aware masalah keamanan data gan. mereka harusnya belajar dari bukalapak. Data2 user itu buat perusahaan spt toped, bukalapak, dan perusahaan digital itu seperti jantung mereka. Ga bisa jaga itu mereka mati"
1221,wah bahaya
1222,"Saya suku belanja di aplikasi ini cuma kadang kecewanya pesanan sama barang datang tidak sesuai itu aja terus tidak ada konfirmasi apa2 , sukanya pengiriman cepet"
1223,"mantap harganya murah, bikin pasar ofline ngadat ??"
1224,untung ane gak pakai burung ini
1225,"Selama ini baru bertindak setelah ada kejadian, apa itu pencegahan? Sebagai pengawas juga tak bisa diandalkan. Sekalinya disuruh investigasi, hasilnya nihil. Jadi Kominfo sama BSSN ini gunanya apa? 
 
 Ada gunanya ga kamu berusaha keras menjaga data pribadi milik kamu selama ini?"
1226,"Alhamdulillah gak punya akun tokopedia, soale petingginya anjing peking"
1227,"Kebanyakan ngeremehin bug sih, cuma orng bloon yg bisa ngambil pelajaran dari masa lalu"
1228,"Voucher gratis ongkirnya sekarang sedikit banget,,dulu sebulan sekali dapat 2 voucher,, Sekarang enggak"
1229,Produk dan pengiriman nya sesuai????
1230,"nah low
 sapa yg tanggung jawab"
1231,Serem amat sekelas Toped bisa sampe kebobolan gitu
1232,"Padahal akhir2 ini lagi demen belanja di tokped. Bebas ongkir ama cashbacknya bener2 mantep.
 
 Gk tau malah kejadian gini"
1233,Rezim ini begitu kompleks amburadulnya. Dr segala segi. Mengenaskan. Korbannya..lagi2 rakyat
1234,Sial.. Ane sering banget pake toped lagi. masa kudu pindah sopi. males banget sama UI nya
1235,"terlalu fokus dengan user, lupa keamanan"
1236,"Wah parah nih, apalagi akun saya lebih dari 1 juga"
1237,"sejauh ini, selalu puas sama aplikasinya"
1238,barang yg dikirim tidak sesuai pesanan
1239,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok"
1240,Beli staples gak jual isinya... hanya sekali pake.... ckckck
1241,"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi barangnya layak apa gak gitu loh.
 (Isinya karatan semua)"
1242,"barang datang cacat ,gak bisa di gunakan 
 harusnya sblum di kirim di coba dulu"
1243,"Kecewa baru dipakey isiya kluar sampai 2 3 buah
 Dipapan nggak nempel"
1244,"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh"
1245,Barangnya rusak..kecewa berat
1246,Beli 5 tdk bs dipakai semua
1247,"Straples nya gk bs dipake, udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi ğŸ˜¢"
1248,gagal.........................
1249,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff
1250,"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI"
1251,barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok
1252,"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok"
1253,"Apakah sepatunya boleh di retur? Kualitas bahan kanan dan kiri berbeda, tebelnya beda, tinggi nya juga beda"
1254,Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya
1255,"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat ğŸ‘?ğŸ‘?"
1256,Suckkkk..............................................
1257,Saya sangat kecewa karna ACC nya tidak lengkap
1258,Ada 1 bagian yg tidak ada
1259,"Kotak rusak, lem sepatunya gk bngt"
1260,"Masih bisa diklem gak nih kualitas barang sangat buruk, lemnya gak nempel pada ngelupas
 Jujur saya sangat kecewa"
1261,"Pengirimnya lama, prosesnya juga lamaaaa"
1262,Lebih teliti lg ya gan kalau ngasih informasi
1263,"Order tanggal 19 pake JNE yes, 
 Baru sampe tanggal 25 entah salahnya dimana"
1264,"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
 Saya tdk akan beli lagi"
1265,"awalnya lupa tulisan ukuran, dan penjual juga ga nanya,, akhirnya ukuran yg dikirim ukuran 40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer."
1266,"Pesen warna A yg d kirim warna B...nga ssuai klw dlam pesenan
  Abis gtu ukuranya kcillğŸ˜¢"
1267,"Sangat mengecwakan, pesan 2 sepatu yg dikirim hanya 1 sepatu, di wa dan dintelfon tidak permah mau bls dangkat,
 udah gitu kualitas sepatu jelek, dijamin bakal kecewa beli disini"
1268,barang sudah diterima kualitas kurang memuaskan
1269,tidak puas.........................
1270,"Mengecewakan, intinya aku sangat kecewa ğŸ˜’"
1271,biarkan bintang yang berbicara
1272,"saya, kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya. menyediakan jasa YES (yakin esok sampai) tapi disamakan dengan pengiriman reguler. bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai , menjadi 2 hari. entah di sengaja apa tidak ini sistem yang buruk menurut saya. selamat 28rb jasa YES nya bisa anda claim karna mereka tidak berhasil kirim 1 hari paket nya, lumayan buat tambah2 omset itu.. jika memang di sengaja selamat anda berhasil, dan membuat kekacauan yg cukup menyedihkan buat saya. tp jika tidak ya semoga kedepan lebih baik lagi. maaf ini pengalaman terburuk saya"
1273,Terlalu lama mulai tanggal 14 baru sampainya tanggal 30 hampir setengah bulan
1274,"tidak puas, saya dirugikan, kualitas barang saya terima sangat buruk"
1275,"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang"
1276,model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali (kasar sekali)
1277,Kurang bagus karena gak kena klipnya jadi gak kencang
1278,"Barang si oke saya pesan navy size 42 yg dikirim hitam Size 41 , dan packing nya tidak rapih ,,,"
1279,"Beli 2 biji, 2-2 patah di tmpt yg sama di bagian pertemuan per dgn suction."
1280,"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah."
1281,Tidak memuaskan dan komplain lama respon.
1282,Cek dlu bos. Gerigi penahan nya kok lepas trus.. Yg ada malah hp nya jatoh
1283,Barang kasar banget dan tidak sesuqi dengan foto
1284,"Kirim barang nya sdh rusak...
 Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli"
1285,warna tdak sma dgn gambar....trima kasih
1286,Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.
